id,marca,modelo,anio,precio,color,disponible
1,Toyota,Yaris,2019,12500,Rojo,si
2,Toyota,Corolla,2020,14500,Azul,si
3,Honda,Civic,2018,13500,Gris,si
4,Honda,Fit,2017,9800,Blanco,no
5,Nissan,Versa,2021,15500,Negro,si
6,Nissan,Sentra,2019,14000,Gris,si
7,Chevrolet,Onix,2020,12500,Blanco,si
8,Chevrolet,Prisma,2018,11000,Rojo,no
9,Hyundai,Accent,2019,13200,Azul,si
10,Hyundai,Elantra,2021,16000,Gris,si
11,Kia,Rio,2018,12000,Rojo,no
12,Kia,Cerato,2019,14500,Negro,si
13,Ford,Focus,2017,10500,Blanco,si
14,Ford,Fiesta,2018,11200,Azul,si
15,Volkswagen,Gol,2020,12800,Gris,si
16,Volkswagen,Polo,2019,13900,Rojo,si
17,Renault,Symbol,2017,9700,Negro,no
18,Renault,Logan,2018,11500,Gris,si
19,Peugeot,208,2020,14000,Blanco,si
20,Peugeot,2008,2021,16500,Negro,si
21,Suzuki,Swift,2019,12700,Azul,si
22,Suzuki,Baleno,2018,12200,Rojo,no
23,Mazda,2,2020,15000,Gris,si
24,Mazda,3,2021,17000,Negro,si
25,Fiat,Argo,2019,11800,Blanco,si
26,Fiat,Cronos,2020,13000,Rojo,si
27,Chevrolet,Tracker,2021,18500,Negro,si
28,Hyundai,Creta,2021,19000,Gris,si
29,Ford,EcoSport,2019,14800,Azul,si
30,Toyota,RAV4,2021,25000,Negro,si


